UMAP1,UMAP2,label
4.925407092,0.074388095,EmbryonicMesenchyme
5.818934961,-10.34587177,SmallIntestine
-0.613132479,4.710965373,CJ7 EB14 Ezh2
-8.734613676,8.606124063,FetalPancreas
-0.496107506,-12.89663229,MammaryGland Pregnancy
-2.183735494,-3.383017385,Placenta
6.814432814,3.06317182,FetalKidney
1.631609688,-3.570073342,MesenchymalStemCellsPrimary
-3.264498719,12.69362675,TrophoblastStemCells
-2.736765149,12.52168603,TrophoblastStemCells
-8.510505162,-15.56135109,Lung
15.02926387,-1.776521546,Thymus
9.813707742,-4.364765092,NeonatalRib
-9.284772069,-10.1569671,MammaryGland Virgin CD45
-10.20575357,9.812312618,FetalKidney
-0.484210407,-12.85959541,MammaryGland Pregnancy
1.563638691,-11.15836404,MammaryGland Virgin
1.029401509,-9.156477458,Liver
-8.049002762,-9.281391631,MammaryGland Virgin CD45
-15.27350676,1.454843768,Brain
-7.417869902,-9.673726348,MammaryGland Virgin CD45
-4.240989619,-12.94932967,MammaryGland Involution CD45
-11.76577796,12.92904133,FetalLung
4.082785161,10.08055368,EmbryonicStemCells
0.15789794,-7.105659126,NeonatalRib
4.630364513,-5.721620827,BoneMarrowcKit
-3.018704718,12.54429977,TrophoblastStemCells
9.267176469,11.89491796,BoneMarrow
-1.552200206,5.953229,EB
-7.407536358,-10.53704919,MammaryGland Virgin CD45
-18.07200964,-6.663379598,Testis
-9.422067033,9.460015446,FetalLung
6.046056108,2.651302006,FetalPancreas
6.24065607,-1.329227404,CJ7 EB14 Ezh2
8.292884001,-7.006317151,MesenchymalStemCellsPrimary
7.202083338,1.099626103,NeontalBrain
-3.30184933,12.33828612,TrophoblastStemCells
-0.749470081,5.912915347,CJ7 EB14 Ezh2
0.113371837,7.976810505,CJ7 EB14 Ezh2
-0.47087878,-12.68738039,MammaryGland Pregnancy
-15.98891252,-4.838487827,Testis
2.86714485,14.88697599,MesenchymalStemCells
-6.109899612,-0.222753236,NeonatalCalvaria
-17.01049424,4.522399248,Prostate
0.916933718,6.483134629,Unannotated
-1.945241113,5.703573142,EB
-1.103397646,-6.393335309,Liver
-1.94771685,7.100658093,EB
1.256427698,-6.422289088,FetalPancreas
6.986449814,-5.940991209,FetalLiver
-9.395863403,-10.41563865,MammaryGland Virgin CD45
5.721168477,1.3737995,FetalBrain
0.999469477,-3.142446134,MesenchymalStemCellsPrimary
-1.226293493,7.609583876,EB
-0.887929697,8.281727485,EB
2.824905664,13.8628737,MesenchymalStemCells
-7.204747111,-10.68787214,MammaryGland Virgin CD45
1.50623276,1.60857822,FetalIntestine
2.337004959,-8.227610746,Lung
-1.436300221,8.10938327,CJ7 EB14 WT
-3.583765804,13.21182499,TrophoblastStemCells
-13.68063453,0.912951085,NeontalBrain
14.64409983,-1.878379241,Thymus
-12.46753791,-3.766362415,Testis
-10.2418223,1.952081761,BoneMarrowcKit
15.33219242,-1.758800274,Thymus
2.379136612,-7.218285714,NeonatalMuscle
-11.34689879,13.31633869,EmbryonicMesenchyme
9.870007334,12.4916619,BoneMarrowcKit
3.391660941,-9.11998265,Lung
3.870336065,-12.3071295,SmallIntestine
6.731901879,4.253438807,FetalKidney
-3.705863704,2.062825247,Kidney
-3.809828683,17.89705111,Pancreas
10.35846336,-14.94069778,MammaryGland Lactation
-11.22408768,3.604923419,BoneMarrowcKit
5.561342996,3.096448123,FetalKidney
-1.265778455,3.923124851,EB
7.803698359,2.650794236,Ovary
-1.110331474,8.034218365,CJ7 EB14 WT
6.026860595,12.99518184,Placenta
0.837703072,6.502777191,Unannotated
3.654451883,-19.0672322,SmallIntestine
15.33023704,-2.015505361,Thymus
-0.321580941,-11.02923402,MammaryGland Pregnancy
1.650029808,0.753682474,FetalStomach
0.112283207,-10.37477907,Spleen
11.05165358,12.09560885,BoneMarrowcKit
-1.319226634,3.687406897,EB
15.5187089,4.426672949,Lung
6.64991915,2.919214547,FetalKidney
13.71960223,-10.91551033,Stomach
4.249020338,-2.317508148,Female fetal Gonad
6.054762852,1.878234464,Female fetal Gonad
6.05822559,3.026527246,FetalPancreas
7.972944075,2.802814346,Ovary
2.74794564,-7.368434448,PeripheralBlood
5.360857772,4.027741876,Female fetal Gonad
7.897201477,-2.037703721,CJ7 EB14 Ezh2
10.82193283,11.82888318,BoneMarrowcKit
-2.835388385,12.97116865,TrophoblastStemCells
-1.193408432,5.717692212,CJ7 EB14 Ezh2
6.714962831,-5.427365627,BoneMarrowcKit
